SR.No,text,Timestamp,Username,Platform,Hashtags,Retweets,Likes,Country,preprocessed_text,sentiment_score,sentiment_label
214," A tapestry of conflicting feelings, weaving through uncertainty, caught in the threads of ambivalence. ",05-01-2022 10:30, ThreadWeaver      , Instagram , #Ambivalence #ConflictingFeelings        ,12,25, UK            ,tapestry conflicting feelings weaving uncertainty caught threads ambivalence,-0.6249,Negative
215," Embracing the flaws, finding acceptance in imperfection, a journey towards self-love. ",20-08-2021 16:20, SelfLoveAdvocate  , Facebook , #Acceptance #SelfLoveJourney              ,15,30, Australia    ,embracing flaws finding acceptance imperfection journey towards self-love,0.4588,Positive
216," Determination burning like a wildfire, overcoming obstacles, turning dreams into reality. ",03-11-2019 13:45, DreamChaser       , Twitter  , #Determination #DreamsIntoReality        ,18,35, USA          ,determination burning like wildfire overcoming obstacles turning dreams reality,0.6486,Positive
217," Tranquil moments by the ocean, serenity washing over, a peaceful retreat within the waves' embrace. ",12-04-2020 19:30, OceanSoul         , Instagram , #Serenity #OceanRetreat                   ,25,50, Canada        ,tranquil moments ocean serenity washing peaceful retreat within waves embrace,0.7579,Positive
218," Exploring new horizons with the spark of curiosity, an adventurer in the vast landscape of knowledge. ",15-04-2022 08:45, HorizonExplorer   , Facebook , #Curiosity #NewHorizons                  ,22,45, India         ,exploring new horizons spark curiosity adventurer vast landscape knowledge,0.4767,Positive
219," Drifting through the day with a nonchalant demeanor, embracing the art of indifference. ",10-02-2023 17:00, NonchalantSpirit  , Twitter  , #Indifference #DriftingThroughLife       ,9,18, UK            ,drifting day nonchalant demeanor embracing art indifference,-0.0516,Negative
220," Wrestling with thoughts, a perplexed mind lost in the labyrinth of life's complexities. ",05-08-2020 12:15, ComplexThinker    , Instagram , #Confusion #PerplexedMind                ,14,28, Australia    ,wrestling thoughts perplexed mind lost labyrinth life 's complexities,-0.5574,Negative
221," Immersed in a state of emotional numbness, a shield against the storm of daily struggles. ",01-12-2021 15:30, ShieldedHeart     , Facebook , #Numbness #EmotionalShield               ,10,20, USA          ,immersed state emotional numbness shield storm daily struggles,-0.4588,Negative
222," A melancholic symphony playing in the background, the soundtrack of a wistful heart. ",25-03-2019 21:00, SymphonySoul      , Twitter  , #Melancholy #WistfulHeart                ,13,26, Canada        ,melancholic symphony playing background soundtrack wistful heart,0.128,Positive
223," Flipping through the pages of an old yearbook, nostalgia painting smiles and tears on my face. ",18-06-2017 14:45, YearbookExplorer  , Instagram , #Nostalgia #YearbookMemories            ,12,25, India         ,flipping pages old yearbook nostalgia painting smiles tears face,0.296,Positive
224," Torn between opposing emotions, an ambivalence that colors my decisions with shades of uncertainty. ",08-07-2022 11:30, DecisiveDilemma   , Facebook , #Ambivalence #ShadesOfUncertainty       ,15,30, Australia    ,torn opposing emotions ambivalence colors decisions shades uncertainty,-0.5267,Negative
225," Embracing life's imperfections, finding acceptance in the journey, scars and all. ",15-05-2023 16:20, ImperfectHarmony  , Twitter  , #Acceptance #ImperfectJourney            ,18,36, Canada        ,embracing life 's imperfections finding acceptance journey scars,0.4588,Positive
226," A fiery determination burning within, fueled by the vision of reaching unparalleled heights. ",10-09-2021 14:45, VisionarySpirit   , Instagram , #Determination #UnparalleledHeights      ,20,40, UK            ,fiery determination burning within fueled vision reaching unparalleled heights,0.4767,Positive
227," Basking in the serenity of a quiet forest, where the whispers of nature bring peace to the soul. ",28-02-2020 18:30, ForestDreamer     , Facebook , #Serenity #NatureWhispers                ,25,50, USA          ,basking serenity quiet forest whispers nature bring peace soul,0.5423,Positive
228," Indifferent to the noise of the world, a silent observer in the midst of life's cacophony. ",10-03-2023 16:30, SilentSpectator   , Instagram , #Indifference #SilentObserver            ,9,18, India         ,indifferent noise world silent observer midst life 's cacophony,-0.2023,Negative
229," Navigating through the labyrinth of thoughts, confusion a constant companion in the maze of ideas. ",02-05-2021 11:45, MazeNavigator     , Facebook , #Confusion #ThoughtLabyrinth              ,14,28, Australia    ,navigating labyrinth thoughts confusion constant companion maze ideas,-0.296,Negative
230," An impenetrable numbness shields me from the emotional storms, a fortress of stoic resilience. ",18-10-2019 14:30, ResilientFortress , Twitter  , #Numbness #StoicResilience               ,11,22, UK            ,impenetrable numbness shields emotional storms fortress stoic resilience,-0.128,Negative
231," Melancholy painting the world in hues of nostalgia, a canvas of bittersweet memories. ",05-01-2020 20:00, CanvasDreamer     , Instagram , #Melancholy #BittersweetMemories         ,13,26, USA          ,melancholy painting world hues nostalgia canvas bittersweet memories,-0.4939,Negative
232," A journey into the past, flipping through the pages of an old diary, nostalgia taking the lead. ",10-08-2018 15:45, DiaryExplorer     , Facebook , #Nostalgia #DiaryJourney                 ,12,25, Canada        ,journey past flipping pages old diary nostalgia taking lead,0.0,Neutral
233," Ambivalence clouding decisions, caught in the crossroads of conflicting emotions. ",15-01-2022 10:30, CrossroadsTraveler , Twitter  , #Ambivalence #ConflictingEmotions        ,15,30, India         ,ambivalence clouding decisions caught crossroads conflicting emotions,-0.4019,Negative
234," Embracing imperfections, finding acceptance in the mosaic of life's beautiful chaos. ",20-07-2021 16:20, MosaicDreamer     , Instagram , #Acceptance #BeautifulChaos              ,18,36, Australia     ,embracing imperfections finding acceptance mosaic life 's beautiful chaos,0.4939,Positive
235," Determination as the driving force, propelling me forward on the path to extraordinary achievements. ",03-12-2019 13:45, PathfinderSpirit  , Facebook , #Determination #ExtraordinaryPath        ,20,40, USA          ,determination driving force propelling forward path extraordinary achievements,0.4019,Positive
236," Seeking serenity in the melody of raindrops, a tranquil escape from the noise of everyday life. ",12-04-2020 19:30, RaindropHarmony   , Twitter  , #Serenity #RaindropMelody                ,25,50, Canada        ,seeking serenity melody raindrops tranquil escape noise everyday life,0.2263,Positive
237," Curiosity driving the exploration of the unknown, a seeker of knowledge in uncharted territories. ",08-05-2022 08:45, SeekerOfUnknowns  , Instagram , #Curiosity #SeekerOfKnowledge            ,22,45, UK            ,curiosity driving exploration unknown seeker knowledge uncharted territories,0.2263,Positive
238," Drifting through the day with an air of nonchalance, indifferent to the trivialities of life. ",22-02-2023 17:00, NonchalantWanderer, Facebook , #Indifference #DriftingThroughLife       ,9,18, India         ,drifting day air nonchalance indifferent trivialities life,-0.4215,Negative
239," Lost in the labyrinth of thoughts, confusion casting shadows on the quest for clarity. ",05-06-2020 12:15, ShadowedSeeker    , Twitter  , #Confusion #LabyrinthOfThoughts          ,14,28, Australia    ,lost labyrinth thoughts confusion casting shadows quest clarity,-0.2023,Negative
240," Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence. ",30-11-2021 15:30, TurbulentShield   , Instagram , #Numbness #EmotionalStorms               ,10,20, Canada        ,wrapped cloak emotional numbness shield storms life 's turbulence,-0.128,Negative
241," Melancholy as a companion, painting the canvas of life with the brushstrokes of wistful yearning. ",25-02-2019 21:00, WistfulPainter    , Facebook , #Melancholy #WistfulYearning             ,13,26, UK            ,melancholy companion painting canvas life brushstrokes wistful yearning,-0.34,Negative
242," Leafing through the pages of an old photo album, nostalgia weaving tales of laughter and tears. ",18-05-2017 14:45, TaleWeaver        , Twitter  , #Nostalgia #PhotoAlbumStories            ,12,25, USA          ,leafing pages old photo album nostalgia weaving tales laughter tears,0.3182,Positive
243," Ambivalence in the air, caught between the crossroads of conflicting emotions and decisions. ",05-08-2022 11:30, CrossroadsExplorer, Instagram , #Ambivalence #CrossroadsConfusion        ,15,30, Canada        ,ambivalence air caught crossroads conflicting emotions decisions,-0.4019,Negative
244," Embracing the beauty in imperfections, finding acceptance in the mosaic of life's unpredictable art. ",15-06-2023 16:20, MosaicArtist      , Facebook , #Acceptance #UnpredictableArt            ,18,36, Australia    ,embracing beauty imperfections finding acceptance mosaic life 's unpredictable art,0.7783,Positive
245," Determination ablaze, forging a path through challenges, sculpting dreams into tangible realities. ",10-10-2021 14:45, DreamSculptor     , Twitter  , #Determination #SculptingDreams          ,20,40, UK            ,determination ablaze forging path challenges sculpting dreams tangible realities,0.6908,Positive
246," Immerse in the serenity of a moonlit night, where the quiet whispers of nature bring peace to the soul. ",12-05-2020 19:30, MoonlitSoul       , Instagram , #Serenity #MoonlitPeace                  ,25,50, USA          ,immerse serenity moonlit night quiet whispers nature bring peace soul,0.5423,Positive
247," Fueled by curiosity, venturing into uncharted realms, a fearless explorer of the mysteries of the world. ",01-12-2022 09:15, FearlessExplorer  , Facebook , #Curiosity #FearlessExplorer              ,22,44, India         ,fueled curiosity venturing uncharted realms fearless explorer mysteries world,0.4404,Positive
248,"Wrapped in the cloak of emotional numbness, a shield against the storms of life's turbulence. ",30-11-2021 15:30, TurbulentShield , Instagram , #Numbness #EmotionalStorms ,10,20, Canada ,wrapped cloak emotional numbness shield storms life 's turbulence,-0.128,Negative
249," Dancing through life with the exuberance of a carefree spirit, embracing joy and zest at every turn. ",12-07-2018 17:45, JoyfulDancer , Twitter , #Zest #CarefreeSpirit ,15,30, USA ,dancing life exuberance carefree spirit embracing joy zest every turn,0.802,Positive
250," Basking in the golden glow of contentment, a serene river flowing through the landscape of the heart. ",05-09-2020 20:10, SereneBasker , Facebook , #Contentment #GoldenGlow ,18,36, Australia ,basking golden glow contentment serene river flowing landscape heart,0.6705,Positive
251," Gazing towards the horizon with hopeful eyes, painting a canvas of dreams illuminated by the sun of optimism. ",18-04-2022 08:00, DreamPainter , Instagram , #Hopeful #CanvasOfDreams ,12,24, India ,gazing towards horizon hopeful eyes painting canvas dreams illuminated sun optimism,0.8591,Positive
252," Standing tall, proud as an oak, the branches of achievement reaching towards the sky of accomplishment. ",10-12-2019 12:20, OakAchiever , Twitter , #Proud #BranchesOfAchievement ,25,50, Canada ,standing tall proud oak branches achievement reaching towards sky accomplishment,0.5994,Positive
253," A heart overflowing with gratitude, a garden where appreciation blooms in the soil of kindness and connection. ",28-02-2023 09:45, HeartGardener , Facebook , #Grateful #BlossomingConnection ,20,40, USA ,heart overflowing gratitude garden appreciation blooms soil kindness connection,0.8625,Positive
254," Extending a hand, empathetic threads weaving a tapestry of understanding, embracing the joys and sorrows of others. ",03-04-2018 14:15, ThreadWeaver , Instagram , #Empathetic #TapestryOfUnderstanding ,15,30, UK ,extending hand empathetic threads weaving tapestry understanding embracing joys sorrows others,0.7579,Positive
255," Compassionate clouds, heavy with care, showering empathy on the parched grounds of human suffering. ",20-06-2022 10:30, CloudCaretaker , Twitter , #Compassionate #ShowerOfEmpathy ,18,36, Australia ,compassionate clouds heavy care showering empathy parched grounds human suffering,0.5106,Positive
256," Playfully dancing in the rain of laughter, a whimsical spirit twirling in the puddles of joy and lightheartedness. ",08-07-2020 18:00, RainDancer , Facebook , #Playful #DanceInTheRain ,22,44, Canada ,playfully dancing rain laughter whimsical spirit twirling puddles joy lightheartedness,0.891,Positive
257," Soaring on the wings of a free spirit, unburdened by the chains of conformity, painting the sky with independence. ",15-08-2021 11:10, SkyPainter , Instagram , #FreeSpirit #PaintingTheSky ,20,40, India ,soaring wings free spirit unburdened chains conformity painting sky independence,0.6124,Positive
258," Bathed in the glow of inspiration, a creative phoenix rising from the ashes of ordinary thoughts to explore new realms. ",25-10-2019 16:50, PhoenixExplorer , Twitter , #Inspired #CreativePhoenix ,15,30, UK ,bathed glow inspiration creative phoenix rising ashes ordinary thoughts explore new realms,0.743,Positive
259," Navigating the sea of hope, sailing towards the sunrise of possibilities, confident in the ship of positive anticipation. ",05-10-2023 07:30, SunriseNavigator , Facebook , #Hopeful #SunriseOfPossibilities ,12,24, USA ,navigating sea hope sailing towards sunrise possibilities confident ship positive anticipation,0.8779,Positive
260," Striding with confidence, footprints of self-assuredness imprinted on the sands of challenges conquered and victories claimed. ",15-02-2022 13:15, SandStrider , Instagram , #Confident #FootprintsOfAssuredness ,25,50, Australia ,striding confidence footprints self-assuredness imprinted sands challenges conquered victories claimed,0.5574,Positive
261," Lost in the symphony of the night, a moonlit serenade that whispers tales of wanderlust and moonlit dreams. ",08-05-2021 22:00, NightSerenader , Twitter , #Serenity #MoonlitSerenade ,13,26, Canada ,lost symphony night moonlit serenade whispers tales wanderlust moonlit dreams,0.1027,Positive
262," Unveiling the layers of curiosity, a labyrinth of questions leading to the treasure troves of undiscovered knowledge. ",29-11-2020 14:45, KnowledgeSeeker , Instagram , #Curiosity #LabyrinthOfQuestions ,17,34, USA ,unveiling layers curiosity labyrinth questions leading treasure troves undiscovered knowledge,0.296,Positive
263," In the embrace of the autumn breeze, leaves of ambivalence dancing in a waltz between choices and uncertainties. ",14-09-2019 10:20, BreezeWaltzer , Facebook , #Ambivalence #AutumnWaltz ,14,28, UK ,embrace autumn breeze leaves ambivalence dancing waltz choices uncertainties,-0.0258,Neutral
264," Gratitude as a guiding star, navigating the constellation of blessings in the vast universe of life's precious moments. ",12-03-2022 19:55, StarNavigator , Twitter , #Grateful #GuidingStar ,19,38, Australia ,gratitude guiding star navigating constellation blessings vast universe life 's precious moments,0.8885,Positive
265," With a zestful heart, sprinting through fields of enthusiasm, chasing sunbeams and laughter in the meadows of joy. ",30-03-2023 16:30, MeadowSprinter , Instagram , #Zest #FieldsOfEnthusiasm ,16,32, India ,zestful heart sprinting fields enthusiasm chasing sunbeams laughter meadows joy,0.872,Positive
266," A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections. ",01-07-2021 12:10, RainNurturer , Facebook , #Compassionate #TearsOfEmpathy ,21,42, Canada ,compassionate rain tears empathy falling gently nurturing seeds kindness garden human connections,0.8658,Positive
267," Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success. ",05-01-2020 08:45, PeakConqueror , Twitter , #Proud #ScalingPeaks ,23,46, USA ,proudly scaling peaks achievement mountaineer conquering challenges planting flag success,0.8225,Positive
268," Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow. ",17-07-2022 06:15, DawnGardener , Instagram , #Hopeful #SeedsOfOptimism ,14,28, UK ,embraced hopeful dawn gardener sowing seeds optimism tending blooms brighter tomorrow,0.8555,Positive
269," A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere. ",22-08-2018 17:20, CarnivalDreamer , Facebook , #Playful #CarnivalEscapade ,24,48, Australia ,playful escapade carnival life carousel laughter cotton candy dreams swirling joyous atmosphere,0.9169,Positive
270," Floating on clouds of inspiration, an artist painting the sky with strokes of creativity, creating a masterpiece of dreams. ",08-12-2021 14:30, SkyArtist , Twitter , #Inspired #CloudsOfCreativity ,18,36, India ,floating clouds inspiration artist painting sky strokes creativity creating masterpiece dreams,0.9325,Positive
271," Navigating the river of contentment, a serene boat cruise through the tranquil waters of inner peace and acceptance. ",27-04-2019 09:50, RiverNavigator , Instagram , #Contentment #TranquilWaters ,20,40, Canada ,navigating river contentment serene boat cruise tranquil waters inner peace acceptance,0.9042,Positive
272," With empathy as a lantern, wandering through the dark alleys of sorrow, illuminating the path with compassion and care. ",03-09-2023 21:40, LanternWanderer , Facebook , #Empathetic #LanternOfCompassion ,16,32, USA ,empathy lantern wandering dark alleys sorrow illuminating path compassion care,0.4215,Positive
273," A free spirit soaring on the wings of dreams, leaving trails of independence in the azure sky of boundless possibilities. ",10-06-2020 10:05, DreamSoarer , Twitter , #FreeSpirit #WingsOfDreams ,22,44, UK ,free spirit soaring wings dreams leaving trails independence azure sky boundless possibilities,0.7717,Positive
274," Bathed in the golden hues of gratefulness, a sunset of appreciation casting its warm glow on the landscapes of the heart. ",01-04-2022 18:30, SunsetAdmirer , Instagram , #Grateful #GoldenHues ,19,38, Australia ,bathed golden hues gratefulness sunset appreciation casting warm glow landscapes heart,0.8126,Positive
275," Confident strides in the dance of life, a ballroom where self-assuredness leads, twirling through challenges with grace. ",15-01-2021 13:00, DanceStrider , Facebook , #Confident #DanceOfLife ,23,46, Canada ,confident strides dance life ballroom self-assuredness leads twirling challenges grace,0.743,Positive
276," Hopeful whispers of wind, carrying the promises of a brighter tomorrow, a symphony of optimism in the air of possibilities. ",06-05-2023 07:20, WindWhisperer , Twitter , #Hopeful #BrighterTomorrows ,15,30, India ,hopeful whispers wind carrying promises brighter tomorrow symphony optimism air possibilities,0.9001,Positive
277," Playfully juggling responsibilities, a circus performer balancing the acts of work and joy, tossing laughter into the air. ",18-11-2019 15:15, JugglingArtist , Instagram , #Playful #JugglingResponsibilities ,25,50, USA ,playfully juggling responsibilities circus performer balancing acts work joy tossing laughter air,0.8625,Positive
278," Whispering tales of inspiration to the stars, a storyteller crafting constellations from the threads of imagination. ",29-08-2020 20:45, StarStoryteller , Facebook , #Inspired #TalesToTheStars ,14,28, UK ,whispering tales inspiration stars storyteller crafting constellations threads imagination,0.5267,Positive
279," Charting a course through the waves of hopeful anticipation, a sailor steering towards the shores of dreams yet unexplored. ",30-10-2022 11:40, WaveNavigator , Twitter , #Hopeful #SailorOfDreams ,17,34, Australia ,charting course waves hopeful anticipation sailor steering towards shores dreams yet unexplored,0.7506,Positive
280," A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections. ",01-07-2021 12:10, RainNurturer , Instagram , #Compassionate #TearsOfEmpathy ,21,42, Canada ,compassionate rain tears empathy falling gently nurturing seeds kindness garden human connections,0.8658,Positive
281," Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success. ",05-01-2020 08:45, PeakConqueror , Twitter , #Proud #ScalingPeaks ,23,46, USA ,proudly scaling peaks achievement mountaineer conquering challenges planting flag success,0.8225,Positive
282," Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow. ",17-07-2022 06:15, DawnGardener , Instagram , #Hopeful #SeedsOfOptimism ,14,28, UK ,embraced hopeful dawn gardener sowing seeds optimism tending blooms brighter tomorrow,0.8555,Positive
283," A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere. ",22-08-2018 17:20, CarnivalDreamer , Facebook , #Playful #CarnivalEscapade ,24,48, Australia ,playful escapade carnival life carousel laughter cotton candy dreams swirling joyous atmosphere,0.9169,Positive
284," Floating on clouds of inspiration, an artist painting the sky with strokes of creativity, creating a masterpiece of dreams. ",08-12-2021 14:30, SkyArtist , Twitter , #Inspired #CloudsOfCreativity ,18,36, India ,floating clouds inspiration artist painting sky strokes creativity creating masterpiece dreams,0.9325,Positive
285," Navigating the river of contentment, a serene boat cruise through the tranquil waters of inner peace and acceptance. ",27-04-2019 09:50, RiverNavigator , Instagram , #Contentment #TranquilWaters ,20,40, Canada ,navigating river contentment serene boat cruise tranquil waters inner peace acceptance,0.9042,Positive
286," With empathy as a lantern, wandering through the dark alleys of sorrow, illuminating the path with compassion and care. ",03-09-2023 21:40, LanternWanderer , Facebook , #Empathetic #LanternOfCompassion ,16,32, USA ,empathy lantern wandering dark alleys sorrow illuminating path compassion care,0.4215,Positive
287," A free spirit soaring on the wings of dreams, leaving trails of independence in the azure sky of boundless possibilities. ",10-06-2020 10:05, DreamSoarer , Twitter , #FreeSpirit #WingsOfDreams ,22,44, UK ,free spirit soaring wings dreams leaving trails independence azure sky boundless possibilities,0.7717,Positive
288," Bathed in the golden hues of gratefulness, a sunset of appreciation casting its warm glow on the landscapes of the heart. ",01-04-2022 18:30, SunsetAdmirer , Instagram , #Grateful #GoldenHues ,19,38, Australia ,bathed golden hues gratefulness sunset appreciation casting warm glow landscapes heart,0.8126,Positive
289," Confident strides in the dance of life, a ballroom where self-assuredness leads, twirling through challenges with grace. ",15-01-2021 13:00, DanceStrider , Facebook , #Confident #DanceOfLife ,23,46, Canada ,confident strides dance life ballroom self-assuredness leads twirling challenges grace,0.743,Positive
290," Hopeful whispers of wind, carrying the promises of a brighter tomorrow, a symphony of optimism in the air of possibilities. ",06-05-2023 07:20, WindWhisperer , Twitter , #Hopeful #BrighterTomorrows ,15,30, India ,hopeful whispers wind carrying promises brighter tomorrow symphony optimism air possibilities,0.9001,Positive
291," Playfully juggling responsibilities, a circus performer balancing the acts of work and joy, tossing laughter into the air. ",18-11-2019 15:15, JugglingArtist , Instagram , #Playful #JugglingResponsibilities ,25,50, USA ,playfully juggling responsibilities circus performer balancing acts work joy tossing laughter air,0.8625,Positive
292," Whispering tales of inspiration to the stars, a storyteller crafting constellations from the threads of imagination. ",29-08-2020 20:45, StarStoryteller , Facebook , #Inspired #TalesToTheStars ,14,28, UK ,whispering tales inspiration stars storyteller crafting constellations threads imagination,0.5267,Positive
293," Charting a course through the waves of hopeful anticipation, a sailor steering towards the shores of dreams yet unexplored. ",30-10-2022 11:40, WaveNavigator , Twitter , #Hopeful #SailorOfDreams ,17,34, Australia ,charting course waves hopeful anticipation sailor steering towards shores dreams yet unexplored,0.7506,Positive
294," A compassionate rain, tears of empathy falling gently, nurturing the seeds of kindness in the garden of human connections. ",01-07-2021 12:10, RainNurturer , Instagram , #Compassionate #TearsOfEmpathy ,21,42, Canada ,compassionate rain tears empathy falling gently nurturing seeds kindness garden human connections,0.8658,Positive
295," Proudly scaling the peaks of achievement, a mountaineer conquering challenges and planting the flag of success. ",05-01-2020 08:45, PeakConqueror , Twitter , #Proud #ScalingPeaks ,23,46, USA ,proudly scaling peaks achievement mountaineer conquering challenges planting flag success,0.8225,Positive
296," Embraced by the hopeful dawn, a gardener sowing seeds of optimism, tending to the blooms of a brighter tomorrow. ",17-07-2022 06:15, DawnGardener , Instagram , #Hopeful #SeedsOfOptimism ,14,28, India ,embraced hopeful dawn gardener sowing seeds optimism tending blooms brighter tomorrow,0.8555,Positive
297," A playful escapade in the carnival of life, carousel laughter and cotton candy dreams swirling in the joyous atmosphere. ",22-08-2018 17:20, CarnivalDreamer , Facebook , #Playful #CarnivalEscapade ,24,48, Australia ,playful escapade carnival life carousel laughter cotton candy dreams swirling joyous atmosphere,0.9169,Positive
298," Drowning in the abyss of despair, a heart shattered into fragments, lost in the echoing silence of hopelessness. ",15-09-2021 16:00, ShatteredHeart , Instagram , #Despair #EchoingSilence ,8,16, Canada ,drowning abyss despair heart shattered fragments lost echoing silence hopelessness,-0.8957,Negative
299," Bitterness festering like a venomous vine, entwining the soul in a web of resentment, poisoning the garden of peace. ",08-03-2019 14:20, VenomousSoul , Facebook , #Bitterness #ResentmentWeb ,12,24, UK ,bitterness festering like venomous vine entwining soul web resentment poisoning garden peace,-0.5267,Negative
300," Wandering through the desert of loneliness, each step a heavy sigh, mirages of connection shimmering but never materializing. ",20-07-2017 11:45, DesertWanderer , Twitter , #Loneliness #MiragesOfConnection ,15,30, USA ,wandering desert loneliness step heavy sigh mirages connection shimmering never materializing,-0.2144,Negative
301," Yearning for a touch that's not there, echoes of a distant warmth haunting the heart in the cold embrace of solitude. ",02-11-2020 19:30, ColdEmbrace , Instagram , #Yearning #DistantWarmth ,10,20, Australia ,yearning touch 's echoes distant warmth haunting heart cold embrace solitude,0.5719,Positive
302," Eyes wide open in the night, fearful shadows dancing on the walls, the mind a prisoner of imagined horrors. ",12-05-2022 02:00, NightPrisoner , Facebook , #Fearful #ImaginedHorrors ,18,36, India ,eyes wide open night fearful shadows dancing walls mind prisoner imagined horrors,-0.886,Negative
303," Apprehensive steps on the tightrope of uncertainty, a balancing act where the fall seems inevitable, anxiety a constant companion. ",08-04-2023 13:15, TightropeWalker , Twitter , #Apprehensive #BalancingAct ,14,28, UK ,apprehensive steps tightrope uncertainty balancing act fall seems inevitable anxiety constant companion,-0.4767,Negative
304," Overwhelmed by the weight of the world, Atlas with trembling shoulders, each responsibility a boulder in the landscape of exhaustion. ",25-06-2021 17:50, AtlasBearer , Instagram , #Overwhelmed #BouldersOfExhaustion ,22,44, Canada ,overwhelmed weight world atlas trembling shoulders responsibility boulder landscape exhaustion,-0.5859,Negative
305," Jealousy, a green-eyed monster, lurking in the shadows, casting a dark cloud over the sunshine of others' success. ",30-08-2019 10:10, GreenMonster , Facebook , #Jealous #GreenEyedMonster ,16,32, USA ,jealousy green-eyed monster lurking shadows casting dark cloud sunshine others success,0.6249,Positive
306," Devastated by the storm of betrayal, the wreckage of trust scattered like debris, a heart torn by the winds of broken promises. ",03-08-2022 15:30, StormSurvivor , Twitter , #Devastated #WindsOfBrokenPromises ,25,50, Australia ,devastated storm betrayal wreckage trust scattered like debris heart torn winds broken promises,-0.6705,Negative
307," Frustrated fingers tapping on the keyboard, a symphony of annoyance composing an unsolvable puzzle of unmet expectations. ",17-12-2020 09:20, PuzzleComposer , Instagram , #Frustrated #UnsolvablePuzzle ,12,24, India ,frustrated fingers tapping keyboard symphony annoyance composing unsolvable puzzle unmet expectations,-0.6908,Negative
308," Envious eyes fixated on the gilded prize, a heartache fueled by the painful desire for possessions that seem forever out of reach. ",28-02-2021 22:45, GildedHeartache , Facebook , #Envious #GildedPrize ,20,40, USA ,envious eyes fixated gilded prize heartache fueled painful desire possessions seem forever reach,0.2732,Positive
309," Dismissive glances, a fortress built with indifference, walls impenetrable to the pleas of understanding and recognition. ",10-05-2018 14:00, IndifferentFort , Twitter , #Dismissive #ImpenetrableWalls ,14,28, UK ,dismissive glances fortress built indifference walls impenetrable pleas understanding recognition,-0.0516,Negative
310," Shattered dreams lie on the floor like fragments of glass, a mosaic of disappointment crafted by the hands of frustration. ",07-01-2022 11:10, DreamMosaic , Instagram , #Frustrated #MosaicOfDisappointment ,15,30, Canada ,shattered dreams lie floor like fragments glass mosaic disappointment crafted hands frustration,-0.6486,Negative
311," Loneliness, a silent companion in the night, the only echo in the chamber of solitude, a heart's solitary nocturne. ",19-09-2019 03:30, NocturnalEcho , Facebook , #Loneliness #SolitaryNocturne ,18,36, Australia ,loneliness silent companion night echo chamber solitude heart 's solitary nocturne,-0.4215,Negative
312," Fearful whispers in the dark, the mind haunted by the specter of the unknown, shadows dancing to the rhythm of anxiety's tune. ",14-07-2023 23:00, DarkWhispers , Twitter , #Fearful #SpecterOfTheUnknown ,13,26, UK ,fearful whispers dark mind haunted specter unknown shadows dancing rhythm anxiety 's tune,-0.743,Negative
313," Bitterness, a bitter aftertaste lingering on the tongue, each word a reminder of wounds that refuse to heal with the passing of time. ",05-04-2020 16:20, LingeringTaste , Instagram , #Bitterness #BitterAftertaste ,10,20, India ,bitterness bitter aftertaste lingering tongue word reminder wounds refuse heal passing time,-0.7717,Negative
314," Overwhelmed by the cacophony of expectations, a drowning soul in the tempest of pressure, struggling to stay afloat. ",29-11-2021 08:45, TempestSurvivor , Facebook , #Overwhelmed #DrowningSoul ,20,40, USA ,overwhelmed cacophony expectations drowning soul tempest pressure struggling stay afloat,-0.5859,Negative
315," Jealousy, a venom that seeps through the veins, poisoning the heart and turning it into a breeding ground for discontent. ",12-12-2019 17:00, VenomousHeart , Twitter , #Jealous #HeartOfDiscontent ,16,32, Australia ,jealousy venom seeps veins poisoning heart turning breeding ground discontent,-0.7269,Negative
316," Devastated by the revelation of betrayal, the trust shattered like fragile glass, leaving shards of pain in its wake. ",20-05-2022 14:50, FragileTrust , Instagram , #Devastated #ShatteredTrust ,25,50, Canada ,devastated revelation betrayal trust shattered like fragile glass leaving shards pain wake,-0.8555,Negative
317," Frustrated attempts to mend a broken connection, the threads of understanding slipping through the fingers like grains of sand. ",03-09-2020 12:15, BrokenThreads , Facebook , #Frustrated #SlippingThreads ,14,28, UK ,frustrated attempts mend broken connection threads understanding slipping fingers like grains sand,-0.6124,Negative
318," Envious gazes cast upon the podium of success, a bitter pill swallowed, the taste lingering as a constant reminder of unattained heights. ",10-02-2021 19:30, SuccessPill , Twitter , #Envious #BitterPill ,20,40, USA ,envious gazes cast upon podium success bitter pill swallowed taste lingering constant reminder unattained heights,-0.0516,Negative
319," Dismissive gestures, a curtain drawn to shield the vulnerability, a stage where emotions take a backseat to the performance of indifference. ",18-08-2018 14:40, CurtainShield , Instagram , #Dismissive #IndifferencePerformance ,12,24, Australia ,dismissive gestures curtain drawn shield vulnerability stage emotions take backseat performance indifference,-0.2732,Negative
